Default Parameters for Different Variables Gasses,,,,,,,,,,,,,,,,,,
Gas,a1,a2,a3,a4,tau1,tau2,tau3,tau4,r0,rC,rT,rA,PI_conc,emis2conc,f1,f2,f3,aer_conc
CO2,0.2173,0.224,0.2824,0.2763,1000000000,394.4,36.54,4.304,30.4,0.0177,2.64,0,278,0.468887594,4.57,0,0.086,0
CH4,1,0,0,0,8.8,1,1,1,8.8,0,-0.33,0.00032,720,0.351665695,0,0,0.0385,0
N2O,1,0,0,0,109,1,1,1,65.45,0,0,0,270,0.200951826,0,0,0.107,0
Sulfur,1,0,0,0,1,1,1,1,1,0,0,0,204,1,0,-0.002444,0,0
CO,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0,0
VOC,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0,0
NOx,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0,0
BC,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0.032223,0,0
OC,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,-0.009421,0,0
NH3,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0,0
F-Gases|PFC|CF4,1,0,0,0,500,1,1,1,130.9830438,0,0,0,0.03405,0.063936093,0,0.09,0,0
F-Gases|PFC|C2F6,1,0,0,0,100,1,1,1,184.8995876,0,0,0,1.00E-15,0.04076988,0,0.25,0,0
F-Gases|PFC|C6F14,1,0,0,0,31,1,1,1,148.5644136,0,0,0,1.00E-15,0.016644829,0,0.44,0,0
F-Gases|HFC|HFC23,1,0,0,0,2.28,1,1,1,12.77978802,0,0,0,1.00E-15,0.080369249,0,0.18,0,0
F-Gases|HFC|HFC32,1,0,0,0,0.054,1,1,1,0.30267919,0,0,0,1.00E-15,0.10816323,0,0.11,0,0
F-Gases|HFC|HFC125,1,0,0,0,0.3,1,1,1,1.681551056,0,0,0,1.00E-15,0.046880946,0,0.23,0,0
F-Gases|HFC|HFC134a,1,0,0,0,0.14,1,1,1,0.784723826,0,0,0,1.00E-15,0.055147027,0,0.16,0,0
F-Gases|HFC|HFC143a,1,0,0,0,0.51,1,1,1,2.858636795,0,0,0,1.00E-15,0.06695206,0,0.16,0,0
F-Gases|HFC|HFC227ea,1,0,0,0,0.36,1,1,1,2.017861267,0,0,0,1.00E-15,0.033092108,0,0.26,0,0
F-Gases|HFC|HFC245fa,1,0,0,0,0.079,1,1,1,0.442808445,0,0,0,1.00E-15,0.041974272,0,0.24,0,0
F-Gases|HFC|HFC4310mee,1,0,0,0,0.17,1,1,1,0.952878932,0,0,0,1.00E-15,0.022323109,0,0.359,0,0
F-Gases|SF6,1,0,0,0,32,1,1,1,151.2509726,0,0,0,1.00E-15,0.038522875,0,0.57,0,0
Montreal Gases|CFC|CFC11,1,0,0,0,0.52,1,1,1,2.914688497,0,0,0,1.00E-15,0.040959825,0,0.26,0,0
Montreal Gases|CFC|CFC12,1,0,0,0,1.02,1,1,1,5.71727359,0,0,0,1.00E-15,0.046535862,0,0.32,0,0
Montreal Gases|CFC|CFC113,1,0,0,0,0.93,1,1,1,5.212808273,0,0,0,1.00E-15,0.030028665,0,0.3,0,0
Montreal Gases|CFC|CFC114,1,0,0,0,1.89,1,1,1,10.59377165,0,0,0,1.00E-15,0.032919794,0,0.31,0,0
Montreal Gases|CFC|CFC115,1,0,0,0,5.4,1,1,1,30.26791455,0,0,0,1.00E-15,0.03642647,0,0.2,0,0
Montreal Gases|CCl4,1,0,0,0,0.32,1,1,1,1.79365446,0,0,0,2.50E-05,0.036579451,0,0.174,0,0
Montreal Gases|CH3CCl3,1,0,0,0,0.05,1,1,1,0.280258509,0,0,0,1.00E-15,0.042178794,0,0.07,0,0
Montreal Gases|HCFC22,1,0,0,0,0.119,1,1,1,0.667015252,0,0,0,1.00E-15,0.065070558,0,0.21,0,0
Montreal Gases|HCFC141b,1,0,0,0,0.094,1,1,1,0.526885997,0,0,0,1.00E-15,0.04811571,0,0.16,0,0
Montreal Gases|HCFC142b,1,0,0,0,0.18,1,1,1,1.008930633,0,0,0,1.00E-15,0.05599215,0,0.19,0,0
Montreal Gases|Halon1211,1,0,0,0,0.16,1,1,1,0.89682723,0,0,0,4.45E-06,0.034026676,0,0.29,0,0
Montreal Gases|Halon1202,1,0,0,0,0.025,1,1,1,0.140129255,0,0,0,1.00E-15,0.026816562,0,0.27,0,0
Montreal Gases|Halon1301,1,0,0,0,0.72,1,1,1,4.035722534,0,0,0,1.00E-15,0.037785583,0,0.3,0,0
Montreal Gases|Halon2402,1,0,0,0,0.28,1,1,1,1.569447652,0,0,0,1.00E-15,0.021655708,0,0.31,0,0
Montreal Gases|CH3Br,1,0,0,0,0.008,1,1,1,0.044841361,0,0,0,0.005299998,0.059265337,0,0.004,0,0
Montreal Gases|CH3Cl,1,0,0,0,0.009,1,1,1,0.050446532,0,0,0,0.457,0.111440902,0,0.004,0,0
